texto_interaccion,intencion_cliente,longitud_texto,contiene_urgencia
buenos dias detalles del ciclo de facturacion ehh porque en el sistema,Facturacion,70,0
estimados mi internet no funciona resulta que del servicio,Soporte,58,0
ayuda tengo un problema de conexion con el servicio este... porque para hoy mismo,Soporte,81,0
por favor el monto de este mes es incorrecto pucha,Facturacion,50,0
ayuda quiero contratar el servicio porque ahora mismo,Ventas,53,0
buenos dias metodos de pago habilitados ehh y para hoy mismo,Facturacion,60,0
oye facturacion de este mes atrasada ahh,Facturacion,40,0
buenas se desconecta a cada rato ehh porque de la aplicacion,Soporte,60,0
estimados no me llego el cobro osea,Reclamos,35,0
hola mi cuenta registra saldo a favor ahh y con mi contrato,Facturacion,59,0
planes familiares de telefonia mmm,Ventas,34,0
oye soporte con la configuracion del proxy ehh,Soporte,46,0
hola nadie me da solucion osea,Reclamos,30,0
buenos dias no reconoce mis credenciales pucha o sea sobre mi cuenta,Soporte,68,0
buenos dias tengo un problema de conexion con el servicio este...,Soporte,65,0
ola me siento estafado son este plan,Reclamos,36,1
hola error de red al descargar archivos,Soporte,39,0
estimados me prometieron algo que no cumplen este... o sea con mi tarjeta,Reclamos,73,0
oye me interesa adquirir otra linea de servicio pucha,Ventas,53,0
mi modem parpadea sin parar osea,Soporte,32,0
por favor no puedo ingresar al sistema,Soporte,38,0
estimados no me sarga la pagina web a porkue son mi sontrato,Soporte,60,0
oye informasion sobre sobertura de planes a,Ventas,43,0
hola el internet va a paso de tortuga este...,Soporte,45,0
aclaracion de cargos adicionales ahh pero en el sistema,Facturacion,55,0
ayuda duda son mi fastura del serbisio osea,Facturacion,43,0
buenos dias no me llego el cobro ahh,Facturacion,36,0
oye no reconoce mis credenciales este...,Soporte,40,0
catalogo de equipos disponibles ahh,Ventas,35,0
hola me cobraron doble estoy harto del servicio mmm,Reclamos,51,1
ayuda portabilidad de mi linea mmm,Ventas,34,0
estimados me estan cobrando de mas en la factura,Facturacion,48,0
por fabor error de red al dessargar arsibos a porkue son mi sontrato,Soporte,68,0
por favor mi modem parpadea sin parar osea,Soporte,42,0
buenas no puedo ingresar al sistema ahh resulta que de la aplicacion,Soporte,68,0
cobro indebido registrado ahh entonces de la aplicacion,Facturacion,55,0
ayuda nadie me da solusion pusa,Reclamos,31,0
hola exijo una devolucion por falta de servicio osea,Reclamos,52,0
planes familiares de telefonia pucha porque con mi tarjeta,Ventas,58,0
cuanto es mi deuda este... entonces en el sistema,Facturacion,49,0
buenos dias quiero contratar telefonia fija,Ventas,43,0
hola detalles del ciclo de facturacion este...,Facturacion,46,0
estimados no puedo conectar el wifi osea,Soporte,40,0
estimados por que aumento el precio del recibo ahh,Facturacion,50,0
no ay señal en mi sona mmm,Soporte,26,0
estimados soporte con la configuracion del proxy este... entonces en el sistema,Soporte,79,0
soporte tesniso urgente por fabor e,Soporte,35,1
estimados cambiar clave de mi red inalambrica mmm y ahora mismo,Soporte,63,0
ola no puedo sonestar el wifi a y en el sistema,Soporte,47,0
hola olvide mi contrasena ahh resulta que sobre mi cuenta,Soporte,57,0
ayuda mi transferensia no pasa e,Facturacion,32,0
estimados la sonexion se sae sonstantemente a,Soporte,45,0
estimados no puedo ingresar al sistema mmm pero de la aplicacion,Soporte,64,0
ayuda no recibo correos de verificacion osea o sea rapido,Soporte,57,0
estimados solusionen este problema son el pago ya osea pero para oy mismo,Reclamos,73,1
por favor nadie me da solucion ehh,Reclamos,34,0
por fabor resibo en formato digital por fabor osea resulta kue son mi sontrato,Facturacion,78,0
hola quiero ver mi estado de cuenta mmm porque ahora mismo,Facturacion,58,0
buenas quiero afiliar mi pago a debito automatico osea,Facturacion,54,0
me interesa adquirir otra linea de servicio mmm,Soporte,47,0
buenas metodos de pago habilitados osea,Facturacion,39,0
buenos dias satalogo de ekuipos disponibles osea o sea para oy mismo,Ventas,68,0
oye mi somputador no se sonesta al serbidor este... porkue sobre mi suenta,Soporte,74,0
buenas aplisasion mobil no abre se sierra e pero en el sistema,Soporte,62,0
me cobraron doble estoy harto del servicio mmm,Reclamos,46,1
estimados cambiar clave de mi red inalambrica ahh,Soporte,49,0
buenas es la tercera vez que llamo por lo mismo,Reclamos,47,0
buenas aplicacion movil no abre se cierra mmm o sea rapido,Soporte,58,0
buenos dias que beneficios tiene el plan premium ehh,Ventas,52,0
problemas para ingresar ahh,Soporte,27,0
ayuda exijo solucion inmediata ahh entonces sobre mi cuenta,Reclamos,59,0
oye informacion de planes pucha,Ventas,31,0
buenas informacion sobre cobertura de planes y sobre mi cuenta,Ventas,62,0
hola confirmar si ya ingreso mi pago pucha o sea rapido,Facturacion,55,1
ayuda soporte con la configuracion del proxy este...,Soporte,52,0
me siento estafado con este plan mmm pero ahora mismo,Reclamos,53,1
buenos dias soporte tecnico urgente por favor ahh,Soporte,49,1
buenas nadie me da solucion ehh resulta que en el sistema,Reclamos,57,0
hola falla de red inalambrica este...,Soporte,37,0
estimados el internet es una basura este... pero de la aplisasion,Reclamos,65,1
ola detalles del sislo de fasturasion e pero del serbisio,Facturacion,57,0
oye falla tecnica en la red local pucha,Soporte,39,0
hola donde reporto mi comprobante este...,Facturacion,41,0
buenos dias quiero contratar telefonia fija pucha pero con mi contrato,Ventas,70,0
estimados no hay señal en mi zona mmm entonces sobre mi cuenta,Soporte,62,0
oye descuento no aplicado en el recibo ehh o sea con mi contrato,Facturacion,64,0
por kue aumento el presio del resibo osea,Facturacion,41,0
buenas factura duplicada en mi cuenta osea,Facturacion,42,0
buenos dias aclaracion de cargos adicionales pucha,Facturacion,50,0
ola kuiero suspender el serbisio definitibamente,Reclamos,48,0
oye falla tecnica en la red local este...,Soporte,41,0
estimados costos adicionales por activacion ehh pero en el sistema,Ventas,66,0
hola el router tiene la luz roja entonces con mi tarjeta,Soporte,56,0
buenas mi computador no se conecta al servidor ahh,Soporte,50,0
aclaracion de cargos adicionales osea,Facturacion,37,0
buenos dias tengo un problema de conexion con el servicio osea,Soporte,62,0
buenos dias voy a denunciarlos ante el regulador este... entonces ahora mismo,Reclamos,77,1
cobro indebido registrado ahh resulta que del servicio,Facturacion,54,0
buenos dias no resonose mis sredensiales e,Soporte,42,0
ayuda kuiero ressindir mi sontrato,Reclamos,34,0
buenas necesito mi comprobante osea o sea de la aplicacion,Facturacion,58,0
hola planes postpago con gigas libres osea,Ventas,42,0
oye cambiar clave de mi red inalambrica ehh,Soporte,43,0
hola costo de instalacion este...,Ventas,33,0
por favor pagina web dice error 500 ehh entonces sobre mi cuenta,Soporte,64,0
buenos dias duda con mi factura del servicio pucha y rapido,Facturacion,59,0
buenos dias no me carga la pagina web pucha,Soporte,43,0
hola me estan cobrando de mas en la factura,Facturacion,43,0
me estan cobrando de mas en la factura mmm,Facturacion,42,0
por favor pago pendiente sin procesar pero con mi tarjeta,Facturacion,57,0
hola costos adicionales por activacion pucha entonces del servicio,Ventas,66,0
buenos dias me gustaria agregar cable a mi paquete mmm porque para hoy mismo,Ventas,76,0
por favor error de red al descargar archivos ehh,Soporte,48,0
oye promociones para clientes nuevos pucha,Ventas,42,0
hola catalogo de equipos disponibles este...,Ventas,44,0
ayuda no reconoce mis credenciales ehh entonces con mi contrato,Soporte,63,0
hola la pantalla se queda en blanco ahh resulta que en el sistema,Soporte,65,0
hola detalles del ciclo de facturacion pucha y de la aplicacion,Facturacion,63,0
oye aplicacion movil no abre se cierra ehh,Soporte,42,0
por favor voy a presentar una queja sobre mi cuenta ehh,Reclamos,55,1
cambiar clave de mi red inalambrica porque con mi contrato,Soporte,58,0
por favor error en el link de pago,Facturacion,34,0
oye nadie me da solucion osea entonces rapido,Reclamos,45,0
no puedo ingresar al sistema pusa,Soporte,33,0
mi internet no funciona este...,Soporte,31,0
pagina web dice error 500 este...,Soporte,33,0
estimados quiero suspender el servicio definitivamente osea y sobre mi cuenta,Reclamos,77,0
buenos dias nadie me da solucion o sea en el sistema,Reclamos,52,0
ayuda que beneficios tiene el plan premium este... resulta que con mi contrato,Ventas,78,0
informacion de planes mmm,Ventas,25,0
ayuda nadie me da solucion ehh resulta que con mi contrato,Reclamos,58,0
falla de red inalambrica o sea de la aplicacion,Soporte,47,0
buenos dias factura duplicada en mi cuenta pero de la aplicacion,Facturacion,64,0
oye falla de red inalambrisa osea,Soporte,33,0
hola nadie me da solucion este...,Reclamos,33,0
buenos dias tengo un problema de conexion con el servicio ehh entonces rapido,Soporte,77,0
buenas la conexion se cae constantemente este...,Soporte,48,0
buenas se desconecta a cada rato mmm,Soporte,36,0
buenos dias pesimo soporte de la app,Reclamos,36,0
oye aplicacion movil no abre se cierra este... porque ahora mismo,Soporte,65,0
buenos dias planes familiares de telefonia e,Ventas,44,0
por favor planes postpago con gigas libres pucha,Ventas,48,0
buenos dias olbide mi sontrasena a,Soporte,34,0
oye cambiar mi fecha de vencimiento pucha pero ahora mismo,Facturacion,58,0
ayuda pago con tarjeta rechazado ahh resulta que para hoy mismo,Facturacion,63,0
ola asesor de bentas por fabor mmm porkue sobre mi suenta,Ventas,57,0
buenas cuales son las promociones de internet pucha,Ventas,51,0
por favor cambiar mi fecha de vencimiento ahh entonces del servicio,Facturacion,67,0
estimados sosto de instalasion mmm,Ventas,34,0
la sonexion se sae sonstantemente e,Soporte,35,0
oye precios del paquete este...,Ventas,31,0
por fabor no me sarga la pagina web este... porkue aora mismo,Soporte,61,0
estimados me prometieron algo que no cumplen pucha entonces con mi tarjeta,Reclamos,74,0
ayuda aclaracion de cargos adicionales ahh,Facturacion,42,0
por fabor su serbisio es una porkueria mmm o sea en el sistema,Reclamos,62,0
hola duda con el desglose del cobro ehh porque con mi tarjeta,Facturacion,61,0
estimados quiero contratar telefonia fija ahh,Ventas,45,0
oye pago con tarjeta rechazado ehh,Facturacion,34,0
ayuda planes familiares de telefonia o sea son mi tarjeta,Ventas,57,0
por favor facturacion de este mes atrasada ehh,Facturacion,46,0
buenos dias me estan cobrando de mas en la factura pucha,Facturacion,56,0
estimados voy a denunciarlos ante el regulador ehh o sea sobre mi cuenta,Reclamos,72,1
ayuda necesito resetear mi clave de la cuenta,Soporte,45,0
buenas problemas para ingresar e,Soporte,32,0
oye quiero contratar el servicio mmm porque rapido,Ventas,50,0
oye quiero ver mi estado de cuenta o sea de la aplicacion,Facturacion,57,0
por favor portabilidad de mi linea o sea con mi tarjeta,Ventas,55,0
hola error en el navegador al abrir la app ahh,Soporte,46,0
buenos dias pago con tarjeta rechazado ehh,Facturacion,42,0
ayuda quiero solicitar un reembolso de cobro ahh,Facturacion,48,0
por fabor no ay señal en mi sona a,Soporte,34,0
estimados portabilidad de mi linea ehh,Ventas,38,0
buenas factura duplicada en mi cuenta osea y ahora mismo,Facturacion,56,0
estimados quiero cancelar mi cuenta ya mmm entonces ahora mismo,Reclamos,63,1
estimados se desconecta a cada rato este...,Soporte,43,0
ayuda me interesa el servicio hogar ahh porque para hoy mismo,Ventas,61,0
ayuda me prometieron algo que no cumplen mmm,Reclamos,44,0
oye el internet es una basura mmm resulta que con mi contrato,Reclamos,61,1
oye cuales son los requisitos para contratar osea pero del servicio,Ventas,67,0
error de login usuario bloqueado osea pero sobre mi cuenta,Soporte,58,0
por favor quiero dar de alta mi ruc,Facturacion,35,0
estimados no recibo correos de verificacion,Soporte,43,0
por favor se cayo la red este...,Soporte,32,0
buenas kuiero aumentar la belosidad sontratada pusa,Ventas,51,0
ayuda costos adicionales por activacion osea,Ventas,44,0
buenas mi internet no funciona este... pero en el sistema,Soporte,57,0
ayuda recibo en formato digital por favor osea o sea para hoy mismo,Facturacion,67,0
hola es la tercera vez que llamo por lo mismo osea,Reclamos,50,0
ayuda necesito mi comprobante osea pero en el sistema,Facturacion,53,0
promociones para clientes nuevos ehh pero con mi tarjeta,Ventas,56,0
buenos dias por que aumento el precio del recibo pucha,Facturacion,54,0
por favor quiero afiliar mi pago a debito automatico pucha o sea ahora mismo,Facturacion,76,0
oye problemas para ingresar mmm,Soporte,31,0
buenas quiero comprar un plan ilimitado este...,Ventas,47,0
hola me siento estafado con este plan ehh,Reclamos,41,1
buenas quiero solicitar un reembolso de cobro ahh,Facturacion,49,0
buenas exijo hablar con un supervisor por este cobro ahh,Reclamos,56,1
por favor no me llego el cobro,Facturacion,30,0
estimados necesito mi comprobante,Facturacion,33,0
quiero solicitar un reembolso de cobro osea y con mi contrato,Facturacion,61,0
por favor comprar nuevo equipo este...,Ventas,38,0
buenas soporte tesniso urgente por fabor e porkue son mi sontrato,Soporte,65,1
estimados planes postpago con gigas libres ahh,Ventas,46,0
buenas resibo en formato digital por fabor este... pero para oy mismo,Facturacion,69,0
ayuda problemas para ingresar osea o sea con mi tarjeta,Soporte,55,0
estimados problemas para ingresar ehh,Soporte,37,0
oye falla tesnisa en la red losal este...,Soporte,41,0
ayuda cambiar clave de mi red inalambrica pucha,Soporte,47,0
informacion sobre cobertura de planes osea entonces sobre mi cuenta,Ventas,67,0
buenos dias facturacion de este mes atrasada mmm,Facturacion,48,0
solicitar cotizacion corporativa mmm o sea ahora mismo,Ventas,54,0
por fabor no puedo ingresar al sistema mmm porkue son mi sontrato,Soporte,65,0
oye falla de red inalambrica ehh,Soporte,32,0
por favor soporte con la configuracion del proxy ahh,Soporte,52,0
hola quiero contratar telefonia fija osea o sea rapido,Ventas,54,0
ayuda facturacion de este mes atrasada pucha,Facturacion,44,0
ayuda donde reporto mi comprobante ahh o sea en el sistema,Facturacion,58,0
hola no tengo acceso al portal de clientes,Soporte,42,0
estimados informacion de planes este... entonces de la aplicacion,Ventas,65,0
buenas mi modem parpadea sin parar ahh,Soporte,38,0
buenas quiero contratar el servicio pucha porque con mi contrato,Ventas,64,0
oye el router tiene la luz roja pucha,Soporte,37,0
error de login usuario bloqueado ahh,Soporte,36,0
oye la pantalla se queda en blanco pucha,Soporte,40,0
ayuda me siento estafado son este plan a resulta kue son mi tarjeta,Reclamos,67,1
por favor el sistema esta caido ahh,Soporte,35,0
buenas mi internet no funciona mmm,Facturacion,34,0
por favor quiero contratar telefonia fija,Ventas,41,0
oye pésima atencion al cliente de este bot osea pero del servicio,Reclamos,65,0
buenas llevo dias sin conexion de internet mmm o sea con mi tarjeta,Reclamos,67,0
ola duda son mi fastura del serbisio este... entonses aora mismo,Facturacion,64,0
ayuda nadie me da solucion ahh,Reclamos,30,0
hola factura duplicada en mi cuenta ehh,Facturacion,39,0
hola duda con el desglose del cobro mmm y para hoy mismo,Facturacion,56,0
ola me interesa adkuirir otra linea de serbisio este...,Ventas,55,0
ola planes familiares de telefonia pusa,Ventas,39,0
ola suales son las promosiones de internet a,Ventas,44,0
ayuda recibo en formato digital por favor mmm resulta que con mi tarjeta,Facturacion,72,0
buenas quiero renovar mi plan osea porque ahora mismo,Ventas,53,0
ayuda quiero dar de alta mi ruc osea porque sobre mi cuenta,Facturacion,59,0
estimados mi computador no se conecta al servidor mmm,Soporte,53,0
estimados tengo un problema con el servicio es pesimo mmm pero rapido,Reclamos,69,0
hola error de red al descargar archivos pucha,Soporte,45,0
ola duda son el desglose del sobro osea o sea son mi tarjeta,Facturacion,60,0
por favor es un robo este cobro de penalidad mmm,Reclamos,48,1
oye factura duplicada en mi cuenta ahh,Facturacion,38,0
estimados quiero rescindir mi contrato mmm,Reclamos,42,0
por favor la conexion se cae constantemente pucha porque rapido,Soporte,63,0
por favor problemas para ingresar ahh y en el sistema,Soporte,53,0
buenas mi computador no se conecta al servidor ehh porque rapido,Soporte,64,0
oye kuiero sontratar el serbisio porkue de la aplisasion,Ventas,56,0
oye mi cuenta aparece como suspendida,Soporte,37,0
buenos dias cambiar clave de mi red inalambrica ehh resulta que en el sistema,Soporte,77,0
oye quiero dar de alta mi ruc mmm,Facturacion,33,0
buenos dias quiero solicitar un reembolso de cobro,Facturacion,50,0
por favor el router tiene la luz roja osea,Soporte,42,0
ayuda donde reporto mi comprobante este... entonces sobre mi cuenta,Facturacion,67,0
estimados por que aumento el precio del recibo pucha porque con mi tarjeta,Facturacion,74,0
problemas para ingresar pucha,Soporte,29,0
estimados mi cuenta aparece como suspendida ehh,Soporte,47,0
se cayo la red pucha pero en el sistema,Soporte,39,0
estimados quiero pasarme a postpago pucha,Reclamos,41,0
buenas quiero suspender el servicio definitivamente pucha,Reclamos,57,0
problemas para ingresar o sea sobre mi suenta,Soporte,45,0
oye costo de instalacion de la fibra mmm entonces con mi tarjeta,Ventas,64,0
estimados mi computador no se conecta al servidor ahh porque en el sistema,Soporte,74,0
hola pésima atencion al cliente de este bot ahh y de la aplicacion,Reclamos,66,0
buenas cuales son las promociones de internet resulta que ahora mismo,Ventas,69,0
estimados duda son el desglose del sobro este...,Facturacion,48,0
buenos dias facturacion de este mes atrasada ahh,Facturacion,48,0
buenas mi modem parpadea sin parar ahh resulta que sobre mi cuenta,Soporte,66,0
hola necesito resetear mi clave de la cuenta este...,Soporte,52,0
duda con mi factura del servicio este...,Facturacion,40,0
buenas falla tecnica en la red local pucha,Soporte,42,0
estimados problemas para ingresar a o sea del serbisio,Soporte,54,0
no reconoce mis credenciales mmm,Soporte,32,0
somprar nuebo ekuipo osea,Ventas,25,0
quiero renovar mi plan pucha y en el sistema,Ventas,44,0
informacion sobre cobertura de planes pucha y sobre mi cuenta,Ventas,61,0
ayuda pagar con tarjeta de credito osea,Facturacion,39,0
por favor cuales son las promociones de internet ahh,Ventas,52,0
por favor quiero contratar el servicio,Ventas,38,0
hola mi internet no funciona mmm porque en el sistema,Soporte,53,0
buenos dias cobro indebido registrado osea entonces sobre mi cuenta,Facturacion,67,0
oye kuiero sontratar telefonia fija este...,Ventas,43,0
buenas cuales son las promociones de internet ahh resulta que rapido,Ventas,68,0
buenas exijo solucion inmediata mmm o sea de la aplicacion,Reclamos,58,0
oye solucionen este problema con el pago ya ehh porque con mi contrato,Reclamos,70,1
oye mi modem parpadea sin parar mmm,Soporte,35,0
por favor el router tiene la luz roja ahh,Soporte,41,0
buenas nadie me da solusion este...,Reclamos,35,0
hola necesito resetear mi clave de la cuenta ehh o sea del servicio,Soporte,67,0
ayuda es un robo este cobro de penalidad mmm o sea en el sistema,Reclamos,64,1
buenos dias no puedo ingresar al sistema osea,Soporte,45,0
ayuda me siento estafado son este plan este...,Reclamos,46,1
estimados quiero dar de alta mi ruc ahh,Facturacion,39,0
soporte con la configuracion del proxy ahh,Soporte,42,0
oye duda con mi factura del servicio mmm y en el sistema,Facturacion,56,0
ayuda no tengo acceso al portal de clientes ahh,Soporte,47,0
por fabor error en el nabegador al abrir la app pusa,Soporte,52,0
buenas donde pago mi mensualidad pucha,Facturacion,38,0
estimados error de red al descargar archivos mmm resulta que sobre mi cuenta,Soporte,76,0
no recibo correos de verificacion pucha,Soporte,39,0
no recibo correos de verificacion osea,Soporte,38,0
estimados exijo hablar con un supervisor por este cobro mmm o sea de la aplicacion,Reclamos,82,1
ayuda suales son los rekuisitos para sontratar a,Ventas,48,0
ayuda llebo dias sin sonexion de internet e entonses en el sistema,Reclamos,66,0
portabilidad de mi linea osea,Ventas,29,0
hola tienen fibra optica osea,Ventas,29,0
oye no me llego el cobro ahh pero en el sistema,Facturacion,47,0
duda con el desglose del cobro ehh y ahora mismo,Facturacion,48,0
buenas metodos de pago abilitados a,Facturacion,35,0
hola quiero cancelar mi cuenta ya ahh resulta que ahora mismo,Reclamos,61,1
deseo adquirir fibra simetrica,Ventas,30,0
oye error en el link de pago osea resulta que de la aplicacion,Facturacion,62,0
estimados quiero ver mi estado de cuenta osea porque rapido,Facturacion,59,0
hola soporte con la configuracion del proxy pucha y en el sistema,Soporte,65,0
